(1649.7227, -44.058594),
(1647.824096425, -44.071222617875),
(1645.9204704, -44.104661983),
(1644.017948975, -44.156685212625),
(1642.1226592, -44.225065424),
(1640.240728125, -44.307575734375),
(1638.3782828, -44.401989261),
(1636.541450275, -44.506079121125),
(1634.7363576, -44.617618432),
(1632.969131825, -44.734380310875),
(1631.2459000000001, -44.854137875),
(1629.572789175, -44.974664241625),
(1627.9559264, -45.093732528),
(1626.401438725, -45.209115851375),
(1624.9154532, -45.318587329),
(1623.504096875, -45.419920078125),
(1622.1734968, -45.510887216),
(1620.929780025, -45.589261859875),
(1619.7790736, -45.652817127),
(1618.727504575, -45.699326134625004),
(1617.7812, -45.726562),
(1616.8774850374998, -45.741024903375),
(1615.9580803, -45.754015157),
(1615.0272010125, -45.770677976125),
(1614.0890623999999, -45.796158576),
(1613.1478796874999, -45.835602171875),
(1612.2078681, -45.894153979),
(1611.2732428625, -45.976959212625005),
(1610.3482192, -46.08916308800001),
(1609.4370123375, -46.235910820375004),
(1608.5438375, -46.42234762500001),
(1607.6729099125, -46.653618717125006),
(1606.8284448, -46.93486931200001),
(1606.0146573875002, -47.27124462487502),
(1605.2357629, -47.667889871000014),
(1604.4959765625001, -48.12995026562502),
(1603.7995136000002, -48.66257102400002),
(1603.1505892375, -49.27089736137503),
(1602.5534187, -49.96007449300003),
(1602.0122172125002, -50.73524763412503),
(1601.5312000000001, -51.60156200000004),
(1600.8637737249999, -53.12460154275),
(1600.3102138, -54.731722222),
(1599.861908575, -56.41489851425),
(1599.5102464, -58.166104896),
(1599.246615625, -59.97731584375),
(1599.0624046, -61.840505834),
(1598.949001675, -63.747649343249996),
(1598.8977952, -65.690720848),
(1598.9001735250001, -67.66169482475),
(1598.947525, -69.65254575),
(1599.031237975, -71.65524810025),
(1599.1427008, -73.661776352),
(1599.273301825, -75.66410498175),
(1599.4144294000002, -77.654208466),
(1599.5574718750001, -79.62406128125),
(1599.6938176000003, -81.565637904),
(1599.8148549250004, -83.47091281075001),
(1599.9119722000003, -85.331860478),
(1599.9765577750004, -87.14045538225),
(1600.0000000000005, -88.888672),
(1600.0, -93.3331054),
(1600.0, -97.7775388),
(1600.0, -102.2219722),
(1600.0, -106.6664056),
(1600.0, -111.110839),
(1600.0, -115.5552724),
(1600.0, -119.9997058),
(1600.0, -124.4441392),
(1600.0, -128.8885726),
(1600.0, -133.333006),
(1600.0, -137.7774394),
(1600.0, -142.2218728),
(1600.0, -146.6663062),
(1600.0, -151.1107396),
(1600.0, -155.55517300000002),
(1600.0, -159.9996064),
(1600.0, -164.4440398),
(1600.0, -168.88847320000002),
(1600.0, -173.3329066),
(1600.0, -177.77734),
(1600.012795, -178.37841450000002),
(1600.02559, -178.979489),
(1600.038385, -179.5805635),
(1600.05118, -180.18163800000002),
(1600.063975, -180.7827125),
(1600.0767700000001, -181.383787),
(1600.089565, -181.98486150000002),
(1600.10236, -182.585936),
(1600.115155, -183.1870105),
(1600.12795, -183.78808500000002),
(1600.1407450000002, -184.3891595),
(1600.15354, -184.99023400000002),
(1600.1663350000001, -185.5913085),
(1600.17913, -186.192383),
(1600.191925, -186.79345750000002),
(1600.2047200000002, -187.394532),
(1600.217515, -187.9956065),
(1600.2303100000001, -188.59668100000002),
(1600.243105, -189.1977555),
(1600.2559, -189.79883),
(1600.3225880250002, -189.5041595575),
(1600.3931312000002, -189.21125826000002),
(1600.467783175, -188.9202551525),
(1600.5467976000002, -188.63127928),
(1600.6304281250002, -188.3444596875),
(1600.7189284, -188.05992542),
(1600.8125520750002, -187.77780552250002),
(1600.9115528000002, -187.49822904),
(1601.0161842250002, -187.2213250175),
(1601.1267000000003, -186.9472225),
(1601.2433537750003, -186.6760505325),
(1601.3663992000004, -186.40793816),
(1601.4960899250004, -186.1430144275),
(1601.6326796000005, -185.88140837999998),
(1601.7764218750006, -185.6232490625),
(1601.9275704000006, -185.36866551999998),
(1602.0863788250006, -185.1177867975),
(1602.2531008000008, -184.87074194),
(1602.4279899750009, -184.62765999249999),
(1602.611300000001, -184.38867),
(1603.29121805, -183.62882958375),
(1604.0451284, -182.96393097),
(1604.86653035, -182.38791061125),
(1605.7489232, -181.89470495999998),
(1606.68580625, -181.47825046875),
(1607.6706788, -181.13248359),
(1608.69704015, -180.85134077625),
(1609.7583895999999, -180.62875848),
(1610.8482264499999, -180.45867315375),
(1611.96005, -180.33502124999998),
(1613.08735955, -180.25173922124998),
(1614.2236543999998, -180.20276352),
(1615.36243385, -180.18203059874998),
(1616.4971971999998, -180.18347690999997),
(1617.6214437499998, -180.20103890624998),
(1618.7286727999997, -180.22865303999995),
(1619.8123836499997, -180.26025576374997),
(1620.8660755999997, -180.28978352999997),
(1621.8832479499997, -180.31117279124996),
(1622.8573999999996, -180.31835999999996),
(1625.085965725, -180.3486251975),
(1627.4394228, -180.43949668000002),
(1629.901706075, -180.5777142825),
(1632.4567504, -180.75001784),
(1635.088490625, -180.9431471875),
(1637.7808616, -181.14384216),
(1640.5177981749998, -181.3388425925),
(1643.2832351999998, -181.51488831999998),
(1646.0611075249997, -181.6587191775),
(1648.8353499999998, -181.757075),
(1651.5898974749996, -181.79669562249998),
(1654.3086847999996, -181.76432087999999),
(1656.9756468249996, -181.6466906075),
(1659.5747183999995, -181.43054464),
(1662.0898343749993, -181.1026228125),
(1664.5049295999993, -180.64966496),
(1666.803938924999, -180.0584109175),
(1668.9707971999992, -179.31560052),
(1670.989439274999, -178.4079736025),
(1672.843799999999, -177.32227),
(1673.972565125, -176.461293525),
